bank_name,old_or_new,deposit,deposit_name,from_year,from_period,from_period_d_m_y,from_period_operator,to_year,to_period,to_period_d_m_y,to_period_operator,min_amount,max_amount,premature_y_n,general_roi,senior_roi
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,15,M,GE,,18,M,LT,50000000,51000000,Y,7.8,7.8
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,15,M,GE,,18,M,LT,50000000,51000000,N,7.45,7.45
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,18,M,GE,,2,Y,LE,50000000,51000000,Y,5,5.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,18,M,GE,,2,Y,LE,50000000,51000000,Y,7.75,7.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,18,M,GE,,2,Y,LE,50000000,51000000,N,7.45,7.45
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,2,Y,GT,,5,Y,LE,50000000,51000000,Y,5,5.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,2,Y,GT,,5,Y,LE,50000000,51000000,Y,7.5,7.5
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,2,Y,GT,,5,Y,LE,50000000,51000000,N,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,5,Y,GT,,10,Y,LE,50000000,51000000,Y,5,5.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,5,Y,GT,,10,Y,LE,50000000,51000000,Y,7.4,7.4
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,5,Y,GT,,10,Y,LE,50000000,51000000,N,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,7,D,GE,,29,D,LE,51000000,249000000,Y,4.75,4.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,7,D,GE,,29,D,LE,51000000,249000000,N,4.75,4.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,30,D,GE,,45,D,LE,51000000,249000000,Y,5.5,5.5
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,30,D,GE,,45,D,LE,51000000,249000000,N,5.5,5.5
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,46,D,GE,,60,D,LE,51000000,249000000,Y,5.75,5.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,46,D,GE,,60,D,LE,51000000,249000000,N,5.75,5.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,61,D,GE,,90,D,LE,51000000,249000000,Y,6,6.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,61,D,GE,,90,D,LE,51000000,249000000,Y,6.0,6.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,61,D,GE,,90,D,LE,51000000,249000000,N,6,6.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,91,D,GE,,120,D,LE,51000000,249000000,Y,6.5,6.5
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,91,D,GE,,120,D,LE,51000000,249000000,N,7.0,7.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,121,D,GE,,184,D,LE,51000000,249000000,Y,6.5,6.5
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,121,D,GE,,184,D,LE,51000000,249000000,N,7.1,7.1
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,185,D,GE,,270,D,LE,51000000,249000000,Y,6.85,6.85
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,185,D,GE,,270,D,LE,51000000,249000000,N,7.25,7.25
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,271,D,GE,,1,Y,LT,51000000,249000000,Y,7.0,7.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,271,D,GE,,1,Y,LT,51000000,249000000,N,7.4,7.4
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,1,Y,GE,,389,D,LE,51000000,249000000,Y,7.3,7.3
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,1,Y,GE,,389,D,LE,51000000,249000000,N,7.55,7.55
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,390,D,GE,,15,M,LT,51000000,249000000,Y,7.25,7.25
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,390,D,GE,,15,M,LT,51000000,249000000,N,7.5,7.5
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,15,M,GE,,18,M,LT,51000000,249000000,Y,7.25,7.25
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,15,M,GE,,18,M,LT,51000000,249000000,Y,7.8,7.8
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,15,M,GE,,18,M,LT,51000000,249000000,N,7.45,7.45
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,18,M,GE,,2,Y,LE,51000000,249000000,Y,7.25,7.25
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,18,M,GE,,2,Y,LE,51000000,249000000,Y,7.75,7.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,18,M,GE,,2,Y,LE,51000000,249000000,N,7.45,7.45
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,2,Y,GT,,5,Y,LE,51000000,249000000,Y,7,7.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,2,Y,GT,,5,Y,LE,51000000,249000000,Y,7.5,7.5
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,2,Y,GT,,5,Y,LE,51000000,249000000,N,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,5,Y,GT,,10,Y,LE,51000000,249000000,Y,7,7.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,5,Y,GT,,10,Y,LE,51000000,249000000,Y,7.4,7.4
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,5,Y,GT,,10,Y,LE,51000000,249000000,N,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,7,D,GE,,29,D,LE,249000000,250000000,Y,4.75,4.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,7,D,GE,,29,D,LE,249000000,250000000,N,4.75,4.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,30,D,GE,,45,D,LE,249000000,250000000,Y,4.75,4.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,30,D,GE,,45,D,LE,249000000,250000000,Y,5.5,5.5
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,30,D,GE,,45,D,LE,249000000,250000000,N,5.5,5.5
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,46,D,GE,,60,D,LE,249000000,250000000,Y,4.75,4.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,46,D,GE,,60,D,LE,249000000,250000000,Y,5.75,5.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,46,D,GE,,60,D,LE,249000000,250000000,N,5.75,5.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,61,D,GE,,90,D,LE,249000000,250000000,Y,4.75,4.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,61,D,GE,,90,D,LE,249000000,250000000,Y,6.0,6.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,61,D,GE,,90,D,LE,249000000,250000000,N,6.0,6.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,91,D,GE,,120,D,LE,249000000,250000000,Y,4.75,4.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,91,D,GE,,120,D,LE,249000000,250000000,Y,6.5,6.5
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,91,D,GE,,120,D,LE,249000000,250000000,N,7.0,7.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,121,D,GE,,184,D,LE,249000000,250000000,Y,4.75,4.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,121,D,GE,,184,D,LE,249000000,250000000,Y,6.5,6.5
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,121,D,GE,,184,D,LE,249000000,250000000,N,7.1,7.1
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,185,D,GE,,270,D,LE,249000000,250000000,Y,4.75,4.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,185,D,GE,,270,D,LE,249000000,250000000,Y,6.85,6.85
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,185,D,GE,,270,D,LE,249000000,250000000,N,7.25,7.25
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,271,D,GE,,1,Y,LT,249000000,250000000,Y,5,5.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,271,D,GE,,1,Y,LT,249000000,250000000,Y,7.0,7.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,271,D,GE,,1,Y,LT,249000000,250000000,N,7.4,7.4
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,1,Y,GE,,389,D,LE,249000000,250000000,Y,5,5.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,1,Y,GE,,389,D,LE,249000000,250000000,Y,7.3,7.3
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,1,Y,GE,,389,D,LE,249000000,250000000,N,7.55,7.55
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,390,D,GE,,15,M,LT,249000000,250000000,Y,5,5.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,390,D,GE,,15,M,LT,249000000,250000000,Y,7.25,7.25
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,390,D,GE,,15,M,LT,249000000,250000000,N,7.5,7.5
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,15,M,GE,,18,M,LT,249000000,250000000,Y,5,5.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,15,M,GE,,18,M,LT,249000000,250000000,Y,7.8,7.8
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,15,M,GE,,18,M,LT,249000000,250000000,N,7.45,7.45
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,18,M,GE,,2,Y,LE,249000000,250000000,Y,5,5.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,18,M,GE,,2,Y,LE,249000000,250000000,Y,7.75,7.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,18,M,GE,,2,Y,LE,249000000,250000000,N,7.45,7.45
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,2,Y,GT,,5,Y,LE,249000000,250000000,Y,5,5.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,2,Y,GT,,5,Y,LE,249000000,250000000,Y,7.5,7.5
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,2,Y,GT,,5,Y,LE,249000000,250000000,N,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,5,Y,GT,,10,Y,LE,249000000,250000000,Y,5,5.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,5,Y,GT,,10,Y,LE,249000000,250000000,Y,7.4,7.4
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,5,Y,GT,,10,Y,LE,249000000,250000000,N,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,7,D,GE,,29,D,LE,250000000,1000000000,Y,4.75,4.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,7,D,GE,,29,D,LE,250000000,1000000000,N,4.75,4.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,30,D,GE,,60,D,LE,250000000,1000000000,Y,5.75,5.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,30,D,GE,,60,D,LE,250000000,1000000000,N,5.75,5.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,61,D,GE,,90,D,LE,250000000,1000000000,Y,6.0,6.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,61,D,GE,,90,D,LE,250000000,1000000000,N,6.5,6.5
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,91,D,GE,,120,D,LE,250000000,1000000000,Y,6.85,6.85
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,91,D,GE,,120,D,LE,250000000,1000000000,N,7.1,7.1
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,121,D,GE,,150,D,LE,250000000,1000000000,Y,6.85,6.85
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,121,D,GE,,150,D,LE,250000000,1000000000,N,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,151,D,GE,,184,D,LE,250000000,1000000000,Y,6.95,6.95
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,151,D,GE,,184,D,LE,250000000,1000000000,N,7.25,7.25
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,185,D,GE,,270,D,LE,250000000,1000000000,Y,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,185,D,GE,,270,D,LE,250000000,1000000000,N,7.45,7.45
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,271,D,GE,,330,D,LE,250000000,1000000000,Y,7.25,7.25
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,271,D,GE,,330,D,LE,250000000,1000000000,N,7.55,7.55
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,331,D,GE,,1,Y,LT,250000000,1000000000,Y,7.25,7.25
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,331,D,GE,,1,Y,LT,250000000,1000000000,N,7.55,7.55
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,1,Y,GE,,389,D,LE,250000000,1000000000,Y,7.4,7.4
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,1,Y,GE,,389,D,LE,250000000,1000000000,N,7.76,7.76
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,390,D,GE,,15,M,LT,250000000,1000000000,Y,7.3,7.3
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,390,D,GE,,15,M,LT,250000000,1000000000,N,7.6,7.6
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,15,M,GE,,2,Y,LE,250000000,1000000000,Y,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,15,M,GE,,2,Y,LE,250000000,1000000000,N,7.45,7.45
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,2,Y,GT,,3,Y,LE,250000000,1000000000,Y,7,7.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,2,Y,GT,,3,Y,LE,250000000,1000000000,N,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,3,Y,GT,,10,Y,LE,250000000,1000000000,Y,7,7.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,3,Y,GT,,10,Y,LE,250000000,1000000000,N,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,7,D,GE,,29,D,LE,1000000000,2500000000,Y,4.75,4.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,7,D,GE,,29,D,LE,1000000000,2500000000,N,4.75,4.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,30,D,GE,,60,D,LE,1000000000,2500000000,Y,5.75,5.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,30,D,GE,,60,D,LE,1000000000,2500000000,N,5.75,5.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,61,D,GE,,90,D,LE,1000000000,2500000000,Y,6.0,6.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,61,D,GE,,90,D,LE,1000000000,2500000000,N,6.5,6.5
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,91,D,GE,,120,D,LE,1000000000,2500000000,Y,6.85,6.85
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,91,D,GE,,120,D,LE,1000000000,2500000000,N,7.15,7.15
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,121,D,GE,,150,D,LE,1000000000,2500000000,Y,6.85,6.85
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,121,D,GE,,150,D,LE,1000000000,2500000000,N,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,151,D,GE,,184,D,LE,1000000000,2500000000,Y,6.95,6.95
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,151,D,GE,,184,D,LE,1000000000,2500000000,N,7.25,7.25
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,185,D,GE,,270,D,LE,1000000000,2500000000,Y,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,185,D,GE,,270,D,LE,1000000000,2500000000,N,7.45,7.45
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,271,D,GE,,300,D,LE,1000000000,2500000000,Y,7.25,7.25
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,271,D,GE,,300,D,LE,1000000000,2500000000,N,7.55,7.55
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,301,D,GE,,330,D,LE,1000000000,2500000000,Y,7.25,7.25
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,301,D,GE,,330,D,LE,1000000000,2500000000,N,7.55,7.55
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,331,D,GE,,1,Y,LT,1000000000,2500000000,Y,7.25,7.25
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,331,D,GE,,1,Y,LT,1000000000,2500000000,N,7.55,7.55
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,1,Y,GE,,389,D,LE,1000000000,2500000000,Y,7.4,7.4
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,1,Y,GE,,389,D,LE,1000000000,2500000000,N,7.7,7.7
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,390,D,GE,,15,M,LT,1000000000,2500000000,Y,7.3,7.3
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,390,D,GE,,15,M,LT,1000000000,2500000000,N,7.6,7.6
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,15,M,GE,,2,Y,LE,1000000000,2500000000,Y,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,15,M,GE,,2,Y,LE,1000000000,2500000000,N,7.45,7.45
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,2,Y,GT,,3,Y,LE,1000000000,2500000000,Y,7.0,7.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,2,Y,GT,,3,Y,LE,1000000000,2500000000,N,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,3,Y,GT,,10,Y,LE,1000000000,2500000000,Y,7.0,7.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,3,Y,GT,,10,Y,LE,1000000000,2500000000,N,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,7,D,GE,,29,D,LE,2500000000,5000000000,Y,5.0,5.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,7,D,GE,,29,D,LE,2500000000,5000000000,N,5.0,5.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,30,D,GE,,45,D,LE,2500000000,5000000000,Y,5.85,5.85
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,30,D,GE,,45,D,LE,2500000000,5000000000,N,5.85,5.85
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,46,D,GE,,60,D,LE,2500000000,5000000000,Y,5.75,5.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,46,D,GE,,60,D,LE,2500000000,5000000000,N,5.75,5.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,61,D,GE,,90,D,LE,2500000000,5000000000,Y,6.0,6.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,61,D,GE,,90,D,LE,2500000000,5000000000,N,6.5,6.5
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,91,D,GE,,120,D,LE,2500000000,5000000000,Y,6.85,6.85
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,91,D,GE,,120,D,LE,2500000000,5000000000,N,7.1,7.1
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,121,D,GE,,150,D,LE,2500000000,5000000000,Y,6.85,6.85
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,121,D,GE,,150,D,LE,2500000000,5000000000,N,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,151,D,GE,,184,D,LE,2500000000,5000000000,Y,6.95,6.95
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,151,D,GE,,184,D,LE,2500000000,5000000000,N,7.25,7.25
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,185,D,GE,,270,D,LE,2500000000,5000000000,Y,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,185,D,GE,,270,D,LE,2500000000,5000000000,N,7.45,7.45
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,271,D,GE,,330,D,LE,2500000000,5000000000,Y,7.25,7.25
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,271,D,GE,,330,D,LE,2500000000,5000000000,N,7.55,7.55
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,331,D,GE,,1,Y,LT,2500000000,5000000000,Y,7.25,7.25
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,331,D,GE,,1,Y,LT,2500000000,5000000000,N,7.55,7.55
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,1,Y,GE,,389,D,LE,2500000000,5000000000,Y,7.4,7.4
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,1,Y,GE,,389,D,LE,2500000000,5000000000,N,7.7,7.7
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,390,D,GE,,15,M,LT,2500000000,5000000000,Y,7.3,7.3
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,390,D,GE,,15,M,LT,2500000000,5000000000,N,7.6,7.6
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,15,M,GE,,2,Y,LE,2500000000,5000000000,Y,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,15,M,GE,,2,Y,LE,2500000000,5000000000,N,7.45,7.45
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,2,Y,GT,,3,Y,LE,2500000000,5000000000,Y,7.0,7.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,2,Y,GT,,3,Y,LE,2500000000,5000000000,N,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,3,Y,GT,,10,Y,LE,2500000000,5000000000,Y,7.0,7.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,3,Y,GT,,10,Y,LE,2500000000,5000000000,N,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,7,D,GE,,29,D,LE,5000000000,9999999999999,Y,5.0,5.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,7,D,GE,,29,D,LE,5000000000,9999999999999,N,5.0,5.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,30,D,GE,,45,D,LE,5000000000,9999999999999,Y,5.85,5.85
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,30,D,GE,,45,D,LE,5000000000,9999999999999,N,5.85,5.85
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,46,D,GE,,60,D,LE,5000000000,9999999999999,Y,5.75,5.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,46,D,GE,,60,D,LE,5000000000,9999999999999,N,5.75,5.75
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,61,D,GE,,90,D,LE,5000000000,9999999999999,Y,6.0,6.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,61,D,GE,,90,D,LE,5000000000,9999999999999,N,6.5,6.5
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,91,D,GE,,120,D,LE,5000000000,9999999999999,Y,6.85,6.85
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,91,D,GE,,120,D,LE,5000000000,9999999999999,N,7.1,7.1
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,121,D,GE,,150,D,LE,5000000000,9999999999999,Y,6.85,6.85
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,121,D,GE,,150,D,LE,5000000000,9999999999999,N,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,151,D,GE,,184,D,LE,5000000000,9999999999999,Y,6.95,6.95
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,151,D,GE,,184,D,LE,5000000000,9999999999999,N,7.25,7.25
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,185,D,GE,,270,D,LE,5000000000,9999999999999,Y,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,185,D,GE,,270,D,LE,5000000000,9999999999999,N,7.45,7.45
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,271,D,GE,,330,D,LE,5000000000,9999999999999,Y,7.25,7.25
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,271,D,GE,,330,D,LE,5000000000,9999999999999,N,7.55,7.55
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,331,D,GE,,1,Y,LT,5000000000,9999999999999,Y,7.25,7.25
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,331,D,GE,,1,Y,LT,5000000000,9999999999999,N,7.55,7.55
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,1,Y,GE,,389,D,LE,5000000000,9999999999999,Y,7.4,7.4
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,1,Y,GE,,389,D,LE,5000000000,9999999999999,N,7.7,7.7
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,390,D,GE,,15,M,LT,5000000000,9999999999999,Y,7.3,7.3
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,390,D,GE,,15,M,LT,5000000000,9999999999999,N,7.6,7.6
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,15,M,GE,,2,Y,LE,5000000000,9999999999999,Y,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,15,M,GE,,2,Y,LE,5000000000,9999999999999,N,7.45,7.45
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,2,Y,GT,,3,Y,LE,5000000000,9999999999999,Y,7,7.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,2,Y,GT,,3,Y,LE,5000000000,9999999999999,N,7.2,7.2
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,3,Y,GT,,10,Y,LE,5000000000,9999999999999,Y,7,7.0
ICICI,NEW,FD,Regular Fixed Deposit,13-09-2024,3,Y,GT,,10,Y,LE,5000000000,9999999999999,N,7.2,7.2
ICICI,NEW,RD,Regular Recurring Deposit,02-08-2024,6,M,GE,,6,M,LE,500,1000000,N,4.75,5.25
ICICI,NEW,RD,Regular Recurring Deposit,02-08-2024,9,M,GE,,9,M,LE,500,1000000,N,6.00,6.50
ICICI,NEW,RD,Regular Recurring Deposit,02-08-2024,12,M,GE,,12,M,LE,500,1000000,N,6.70,7.20
ICICI,NEW,RD,Regular Recurring Deposit,02-08-2024,15,M,GE,,15,M,LE,500,1000000,N,7.25,7.80
ICICI,NEW,RD,Regular Recurring Deposit,02-08-2024,18,M,GE,,18,M,LE,500,1000000,N,7.25,7.75
ICICI,NEW,RD,Regular Recurring Deposit,02-08-2024,21,M,GE,,21,M,LE,500,1000000,N,7.25,7.75
ICICI,NEW,RD,Regular Recurring Deposit,02-08-2024,24,M,GE,,24,M,LE,500,1000000,N,7.25,7.75
